id,hist-today,img_url,img_credits
e-1_1963,today,https://www.publics-arts.ch/files/large/3a7b016060198edbff745fc2e75f55a49ea0fb27.jpg,"Christopher Kilchenmann, 2023"
findlingskopf_1975,today,https://www.publics-arts.ch/files/large/601c1b42c7d9a2f9c337231b1ab3372cdf16dce9.jpg,"Christopher Kilchenmann, 2023"
findlingskopf_1975,hist,https://www.publics-arts.ch/files/large/9e67f1ef5f6e49a93bfae1fdbcfd1bf3745f3d11.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
findlingskopf_1975,today,https://www.publics-arts.ch/files/large/afca6a4ab770ccd2c149945c79e8c171cebc23d9.jpg,"Christopher Kilchenmann, 2023"
findlingskopf_1975,today,https://www.publics-arts.ch/files/large/e2f7a35a174ceab0de2b74e81cc658cd14c2f2ba.jpg,"Christopher Kilchenmann, 2023"
eisenplastik-iii-66c_1974,today,https://www.publics-arts.ch/files/large/1875ed65f09eac45ad8c0d6d00dcbcb2dbb88f50.jpg,"Ana Pereira, 2023"
eisenplastik-iii-66c_1974,hist,https://www.publics-arts.ch/files/large/e6edbb76c1a910da08407088799eef470a4906b1.jpg,"Archives / Archiv Märki-Travaglini, 1975"
eisenplastik-iii-66c_1974,hist,https://www.publics-arts.ch/files/large/bcbb873fe7fe7e78219236638db93ce4e57bc6c1.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
eisenplastik-iii-66c_1974,hist,https://www.publics-arts.ch/files/large/04d5bfc8194fc701803536496b7ab1c9aef9f93f.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
figure-xa_1975,today,https://www.publics-arts.ch/files/large/e0164f3ed6cd27f53bf5df0692d6b641a02425fe.jpg,"ETH-Bibliothek Zürich, Kunstinventar (CC BY-SA 4.0)"
figure-xa_1975,hist,https://www.publics-arts.ch/files/large/c624b4f4cdd92ab7eb4a1eb485a609eac42015fc.jpg,"Jeanne Chevalier, 1975"
vegetativ-iii_1958,today,https://www.publics-arts.ch/files/large/7699048fe5f6b3b9c9a854ee263217ec5e0855a8.jpg,"Christopher Kilchenmann, 2023"
vegetativ-iii_1958,hist,https://www.publics-arts.ch/files/large/36a0c8f0daa23755b585f4780025d514b4fc41c1.jpg,"Fonds Jacques Thévoz, 1958, Service des biens culturels, Fribourg / Amt für Kulturgüter, Freiburg, Fonds Recensement des biens culturels Fribourg, RBCF "
sculpture_1960,today,https://www.publics-arts.ch/files/large/1374e8bc1f3deb94891df54fb82f599525282e28.jpg,"Christopher Kilchenmann, 2023"
sculpture_1960,hist,https://www.publics-arts.ch/files/large/3212279493751be7258d27d2bb6190c782bda4ab.jpg,"Fonds Jacques Thévoz, 1962, Service des biens culturels, Fribourg / Amt für Kulturgüter, Freiburg, Fonds Recensement des biens culturels Fribourg, RBCF "
sculpture_1960,today,https://www.publics-arts.ch/files/large/76b90af722c59d2153f9bbc7d5b84dfd21d061a3.jpg,"Christopher Kilchenmann, 2023"
sculpture_1960,today,https://www.publics-arts.ch/files/large/94ef9fe0931c8512fa3e5dfe51077b89e4a107be.jpg,"Christopher Kilchenmann, 2023"
sculpture_1960,today,https://www.publics-arts.ch/files/large/47d2b75c6b4765716e91a0abdf41026ddaf8d07f.jpg,"Christopher Kilchenmann, 2023"
femme-au-poisson_1956,today,https://www.publics-arts.ch/files/large/a0527a52dd23fa148d8891b8c5f2e70459c6f768.jpg,"Rama (via Wikimedia Commons, CC BY-SA 3.0 FR)"
femme-au-poisson_1956,hist,https://www.publics-arts.ch/files/large/d4391832fe23099966279b94c2ad0cbfc7c1331e.jpg,"Fonds Jacques Thévoz, 1958, Service des biens culturels, Fribourg / Amt für Kulturgüter, Freiburg, Fonds Recensement des biens culturels Fribourg, RBCF "
femme-au-poisson_1956,today,https://www.publics-arts.ch/files/large/757e53fbe173c1946d6fc0899aaaeb818bfc7c09.jpg,"Rama (via Wikimedia Commons, CC BY-SA 3.0 FR)"
grand-objet_1958,today,https://www.publics-arts.ch/files/large/89449b3931734d0f40c91b283d408dd6ce15cf50.jpg,"MHM55, 2024 (via Wikimedia Commons, CC BY-SA 4.0)"
grand-objet_1958,hist,https://www.publics-arts.ch/files/large/f0d23b51552061575350a87d86b597e359451263.jpg,"Fonds Jacques Thévoz, 1958, Service des biens culturels, Fribourg / Amt für Kulturgüter, Freiburg, Fonds Recensement des biens culturels Fribourg, RBCF "
figur-i_1955,today,https://www.publics-arts.ch/files/large/4c01a8d2d20111044ea765b32076b4d8cd151552.jpg,"Christopher Kilchenmann, 2023"
figur-i_1955,hist,https://www.publics-arts.ch/files/large/cdd91c3a0c7e701d9bdc8192bf697133f488c212.jpg,"Fonds Jacques Thévoz, 1958, Service des biens culturels, Fribourg / Amt für Kulturgüter, Freiburg, Fonds Recensement des biens culturels Fribourg, RBCF "
figur-i_1955,today,https://www.publics-arts.ch/files/large/bc47cd6b7a31aa6d2b1f11592ee0a863573bed14.jpg,"Christopher Kilchenmann, 2023"
figur-i_1955,hist,https://www.publics-arts.ch/files/large/cdd91c3a0c7e701d9bdc8192bf697133f488c212.jpg,"Inconnu / Unbekannt, 1958, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
figur-i_1955,today,https://www.publics-arts.ch/files/large/792aae838a396a46dcd2aac4812c15eafac34290.jpg,"Christopher Kilchenmann, 2023"
figur-i_1955,today,https://www.publics-arts.ch/files/large/216292c5e17697afc67d02e1bdfd4e8c63172f56.jpg,"Christopher Kilchenmann, 2023"
kugelraum-mit-strahlenkern_1958,today,https://www.publics-arts.ch/files/large/4b1b47b1738827401f83786aa1a7761ece500220.jpg,"Yvonne Schweizer, 2023"
