artist,title,id,year,expo,hist-today,img_url,img_credits,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
Raffael Benazzi,"Das Loch, Versuch einer unterirdischen plastischen Bewegung",das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,1966,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/927a4e742e7630b3da93d4aaa4ff15b86bf1b2a4.png,Daniel Hauser / © Bieler Tagblatt,"Parc du Palais des Congrès sous un couvercle en béton / Park des Kongresshauses unter einem Betondeckel, 2502 Bienne / Biel",47.134245,7.247228,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134245,7.247228
,,das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,1966,,hist,https://www.publics-arts.ch/files/original/68244bd350901ce4120a2074059b8fb666715761.jpeg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,47.134245,7.247228
,,das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,1966,,hist,https://www.publics-arts.ch/files/original/2667ddcade62468a111d336e95386108d9981322.jpeg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,,
Erich Müller,Einhorn,einhorn_1952,1952,"ESS-SPA 1, 1954",today,https://www.publics-arts.ch/files/original/a8a29f761f06d607f833c3030d4eafa7e6f0908a.jpeg,"Christopher Kilchenmann, 2023","École Tscharnergut / Schule Tscharnergut, Fellerstrasse 18, 3027 Berne / Bern",46.94785690869979,7.391377633718458,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143529,7.252224
,,einhorn_1952,1952,,hist,https://www.publics-arts.ch/files/original/52b636f51e9ee098c0c1bc314393f2b030c7e596.tif,"Comet Photo AG, 1954, Com_M03-0221-0015, Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv / Public Domain Mark",,,,,47.143529,7.252224
,,einhorn_1952,1952,,today,https://www.publics-arts.ch/files/original/a775e8e09afefe8a0c44dae05f0fbc7dc5afbbc1.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,einhorn_1952,1952,,hist,https://www.publics-arts.ch/files/original/bb7833016dd806403c74cb2ea0a3ba0a240703c1.tif,"Comet Photo AG, 1954, Com_M03-0221-0015, Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv / Public Domain Mark",,,,,,
Walter Linck,Fontaine,fontaine_1954,1954,"ESS-SPA 1, 1954",today,https://www.publics-arts.ch/files/original/c604714f020d8a1ebb0c0d762c88406924b09364.jpeg,"Christopher Kilchenmann, 2023","École primaire Bethlehemacker / Primarschule Bethlehemacker, Kornweg 101–104, 3027 Berne / Bern",46.94970852365287,7.387500607408399,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143529,7.252224
,,fontaine_1954,1954,,hist,https://www.publics-arts.ch/files/original/46bb3210f8f9a0042f4a9b42d95033ae70cb6e8e.jpg,"Comet Photo AG, 1954, Com_M03-0221-0001, Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv / Public Domain Mark",,,,,47.143529,7.252224
,,fontaine_1954,1954,,today,https://www.publics-arts.ch/s/oedk/media/7360,"Christopher Kilchenmann, 2023",,,,,,
,,fontaine_1954,1954,,today,https://www.publics-arts.ch/files/original/a17b1a284cca6a988210a5d44786263c065a2e59.jpeg,"Christopher Kilchenmann, 2023",,,,,,
Giuliano Pedretti,Nostalgie (Kuh),nostalgie-kuh_1974,1974,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/6beee134bc0e09fc8b3ae3b060df3032167c9aac.jpg,"EinDao, 2019 (via Wikimedia Commons, CC BY-SA 4.0)","Près la station RER / Bei der S-Bahn-Station, 4125 Riehen",47.582795,7.652089,"Pont-du-Moulin / Mühlebrücke 5, Bienne / Biel",47.140233,7.243944
,,nostalgie-kuh_1974,1974,,hist,https://www.publics-arts.ch/files/original/65c2e44200b976a3e319cb6f8c7687b7c492a5cb.jpg,"Renate Hügli Roth, 1975",,,,,47.140233,7.243944
,,nostalgie-kuh_1974,1974,,hist,https://www.publics-arts.ch/files/original/5ef9dee2a8c3905250f8650c25c2976b84c84101.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,,
Erwin Rehmann,Maternité,maternite_1950,1950,"ESS-SPA 1, 1954",today,https://www.publics-arts.ch/files/original/0f9af4aacf789badca4f996692dfe5b154672f0b.jpeg,"Christopher Kilchenmann, 2023","Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.142788,7.252527,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.142788,7.252527
,,maternite_1950,1950,,hist,https://www.publics-arts.ch/files/original/9f8192e3e3cb1e7c9d9220a074af2ac248c65b5a.jpeg,"Archives municipales Bienne / Stadtarchiv Biel, Collection de photographies de la police / Polizeifotosammlung, N_701-2-5, 1954",,,,,47.142788,7.252527
,,maternite_1950,1950,,today,https://www.publics-arts.ch/files/original/67c73bd8f204341ff378956f0f5b2db9024a3e08.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,maternite_1950,1950,,today,https://www.publics-arts.ch/files/original/70cd93899fb16aba83d576e5bbc2da95784e2dcc.jpeg,"Christopher Kilchenmann, 2023",,,,,,
